Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,TCS.NS
01-01-2019,504.3925171,350.9570007,553.4483643,1295.537842,498.4905701,1610.928223
02-01-2019,499.7902527,351.7771606,556.7772217,1280.802612,491.99823,1628.283569
03-01-2019,495.8689575,350.4746094,556.8604736,1253.39856,485.9282837,1608.515381
04-01-2019,497.1955872,352.3560181,550.1196899,1247.153931,488.5519104,1588.958618
07-01-2019,497.9469604,354.7681274,558.9824219,1243.335449,491.2645264,1606.779907
08-01-2019,493.8026123,366.7802734,557.609375,1241.897705,491.2200623,1603.096802
09-01-2019,497.0429993,368.8063965,562.6442261,1245.357178,493.9325867,1597.509277
10-01-2019,495.0940857,366.1531067,565.6400146,1251.242065,492.4873657,1598.86377
11-01-2019,495.892395,365.2365112,568.8024292,1230.576782,488.2851257,1559.920044
14-01-2019,493.4856567,360.2193909,584.1147461,1198.50061,487.7292786,1535.114014
15-01-2019,498.2404785,359.6405029,604.6697388,1204.789917,502.3371582,1581.296753
16-01-2019,497.8413086,362.100769,613.1580811,1205.91333,505.116394,1583.286377
17-01-2019,500.6824951,361.4254456,610.2870483,1209.417358,504.4715881,1607.169434
18-01-2019,500.2011414,358.9168396,608.289917,1184.124634,526.6613159,1612.557251
21-01-2019,504.4041748,358.6274414,619.9819946,1181.114746,550.3851929,1619.386719
22-01-2019,501.5161133,356.0706482,620.2733154,1169.074951,549.2512817,1613.617188
23-01-2019,494.3661194,354.4786682,608.8723145,1169.34436,545.3158569,1591.303955
24-01-2019,493.6265564,351.9700623,612.5122681,1163.86377,554.7208862,1613.320801
25-01-2019,492.1589355,344.6373901,611.1315918,1154.968506,554.0761108,1629.652588
28-01-2019,489.3764038,331.4674683,609.1233521,1168.446045,546.7610474,1658.668701
29-01-2019,483.1423035,334.6513977,609.081543,1148.319702,538.3565063,1682.21228
30-01-2019,477.7651672,353.0314331,607.40802,1163.054932,531.7084351,1681.067505
31-01-2019,488.3902588,351.6324158,627.1975098,1180.890259,545.6937866,1708.810547
01-02-2019,490.8557739,342.1770935,633.4732666,1190.144653,555.8325195,1722.258057
04-02-2019,494.2487488,342.0805359,632.5110474,1174.690552,574.0423584,1739.481201
05-02-2019,496.3973083,340.247406,631.6323853,1172.174683,574.3314209,1734.645264
06-02-2019,498.4165649,346.6635132,638.703064,1180.97998,582.6469727,1760.310181
07-02-2019,497.1486511,346.0363464,639.2888184,1164.492554,573.8200073,1767.181519
08-02-2019,498.4165649,342.6112061,636.6948242,1133.674438,568.1725464,1748.94104
11-02-2019,502.4083557,337.7388306,638.284729,1119.972168,557.3000488,1752.758911
12-02-2019,500.071991,332.19104,627.9506226,1120.286499,558.7008057,1740.626587
14-02-2019,495.4931946,331.8533936,619.24823,1102.990723,544.381958,1734.6875
15-02-2019,493.2507629,330.1166687,620.8381348,1116.91748,553.3868408,1722.046143
18-02-2019,490.7265625,326.8362427,620.085022,1118.175415,542.5588379,1671.649536
19-02-2019,489.3530273,331.178009,606.0691528,1130.574585,540.7800293,1616.077881
20-02-2019,495.0588074,333.0594482,619.7922363,1146.972046,548.8955078,1624.519897
21-02-2019,496.8315735,338.9448853,613.7255859,1153.755615,554.4763184,1624.053101
22-02-2019,491.0905457,339.6685181,614.9807129,1150.38623,548.0062256,1633.7677
25-02-2019,499.0623474,343.0936584,631.6742554,1146.343018,547.9838867,1684.248657
26-02-2019,495.598938,335.9539185,621.2983398,1137.35791,542.6254883,1729.681885
27-02-2019,491.2784119,333.3971252,615.2318115,1154.294678,544.0706177,1746.141235
28-02-2019,487.8268127,337.8353271,614.4368896,1161.707153,547.4279785,1682.806274
01-03-2019,489.1885986,341.7911377,620.7963257,1175.723755,545.2045898,1692.944946
05-03-2019,494.7653198,350.4746094,612.9306641,1173.253052,550.3629761,1686.751465
06-03-2019,494.0961609,358.8686523,612.9306641,1183.315918,562.4360962,1696.508667
07-03-2019,499.3205872,357.7590637,604.9395752,1215.122681,564.8596802,1708.131958
08-03-2019,499.7197571,357.5661011,596.0698242,1203.442383,563.4589844,1716.107178
11-03-2019,499.7784729,362.6314697,595.1494751,1209.866577,579.9122314,1709.404541
12-03-2019,509.7695618,374.5470886,591.5513306,1247.917725,592.0298462,1707.410889
13-03-2019,522.8132935,378.1169739,592.8064575,1238.66333,599.1225586,1697.272095
14-03-2019,522.390625,374.2576599,592.7228394,1239.696533,596.5656738,1686.157715
15-03-2019,529.0239868,381.3973999,601.2577515,1254.746216,587.7164917,1730.741943
18-03-2019,531.0081177,384.0506897,594.270752,1238.932617,600.34552,1716.19165
19-03-2019,532.4873657,384.3883667,604.3538208,1220.109253,612.1295776,1716.19165
20-03-2019,539.8251953,379.0818176,618.3278198,1231.744751,611.6403809,1709.616699
22-03-2019,534.4597168,378.0205078,621.800354,1253.12915,596.654541,1701.641357
25-03-2019,535.6690674,370.0124512,615.2318115,1237.000854,588.9615479,1683.485352
26-03-2019,542.7250366,380.239624,608.9560547,1233.451904,607.9940186,1682.127686
27-03-2019,539.9307861,379.3713379,610.5877686,1227.74646,599.9896851,1669.613403
28-03-2019,540.7174072,386.4627991,617.3654785,1245.941162,604.7700195,1697.102295
01-04-2019,542.8306885,384.2436829,631.8416138,1268.852539,618.9332275,1723.700562
02-04-2019,538.850647,383.1823425,635.4397583,1266.651245,617.9771118,1764.127441
03-04-2019,538.3575439,378.309967,630.3354492,1238.168945,611.5292969,1764.127441
04-04-2019,536.2911377,375.0777588,625.8170166,1229.768066,601.6794434,1709.150269
05-04-2019,541.3748169,376.8144531,635.355896,1234.350586,602.0574951,1737.82666
08-04-2019,537.5709229,373.4858398,642.0083008,1234.215698,591.0960693,1756.873657
09-04-2019,537.0661011,383.1823425,636.4439087,1235.608398,593.4085083,1774.47876
